"temperature_C_cat","rainfall_mm_cat","fertiliser_kgha_cat","chem_weed_control_kgha_cat","soil_organic_matter_cat","region","irrigation","seed_brand","tractor_brand","temperature_mean","rainfall_mean","fertiliser_mean","chem_weed_control_mean","soil_organic_matter_mean","temperature_C_z","rainfall_mm_z","fertiliser_kgha_z","chem_weed_control_kgha_z","soil_organic_matter_z","yield_tha"
"Low","Low","Low","Low","Low","Free State","Rainfed","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.0402061168818
"Low","Low","Low","Low","Low","Mpumalanga","Rainfed","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.19989841827333
"Low","Low","Low","Low","Low","North West","Rainfed","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,4.24854694601138
"Low","Low","Low","Low","Low","Free State","Irrigated","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,4.36991471727889
"Low","Low","Low","Low","Low","Mpumalanga","Irrigated","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,6.13019752072773
"Low","Low","Low","Low","Low","North West","Irrigated","Pannar","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.18182598398022
"Low","Low","Low","Low","Low","Free State","Rainfed","Dekalb","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.00486671402315
"Low","Low","Low","Low","Low","Mpumalanga","Rainfed","Dekalb","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.24281587718386
"Low","Low","Low","Low","Low","North West","Rainfed","Dekalb","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,5.03767221895335
"Low","Low","Low","Low","Low","Free State","Irrigated","Dekalb","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,6.19190296913028
"Low","Low","Low","Low","Low","Mpumalanga","Irrigated","Dekalb","John Deere",19.9113432835821,408,135.153059701493,144.721044776119,3.38760447761194,-1.15771721515279,-1.18155572794745,-1.11851500073808,-1.16038181241284,-1.18148746836324,6.03263945071797
