"region","temperature_C","rainfall_mm","irrigation","fertiliser_kgha","chem_weed_control_kgha","soil_organic_matter","seed_brand","tractor_brand"
"Free State",22.91,473.2,"Rainfed",282.39,142.1,3.952,"Pioneer","John Deere"
"Mpumalanga",20.59,1090.1,"Rainfed",137.26,69.5,3.849,"Pannar","John Deere"
"Free State",26.82,772.1,"Rainfed",88.33,109.8,3.934,"Pioneer","Case"
"North West",22.01,534,"Irrigated",204.35,116.8,3.392,"Pioneer","John Deere"
"North West",32.33,613.1,"Rainfed",213.88,175.04,3.812,"Pannar","Case"
"Free State",27.46,1055.4,"Rainfed",483.67,149.03,3.118,"Pioneer","John Deere"
"Free State",19.21,248.4,"Rainfed",341.34,97.07,3.667,"Pannar","John Deere"
"North West",31.2,564.6,"Rainfed",135.02,198.14,3.962,"Pannar","John Deere"
"Free State",33.72,955.2,"Rainfed",107.27,234.29,4.107,"Dekalb","John Deere"
"Free State",21.77,469.7,"Rainfed",214.11,77.03,3.58,"Pioneer","John Deere"
"North West",32.22,420.5,"Rainfed",383.41,147.5,3.677,"Pannar","John Deere"
"Free State",20.87,469.1,"Rainfed",99.53,97.48,3.173,"Pannar","John Deere"
"Mpumalanga",25.33,562.7,"Rainfed",118.09,103.77,3.027,"Pannar","Case"
"Free State",25,555.3,"Rainfed",345.45,163.77,3.484,"Pannar","John Deere"
"Free State",30.61,485.4,"Rainfed",358.83,197.51,3.547,"Pioneer","John Deere"
"North West",20.71,453.4,"Rainfed",178.65,160.91,3.456,"Pioneer","John Deere"
"Free State",23.79,793.5,"Rainfed",82.68,107.2,3.273,"Pannar","New Holland"
"Free State",21.89,469.3,"Rainfed",130.64,224.43,3.126,"Pioneer","New Holland"
"Free State",23.21,356.1,"Rainfed",270.02,214.9,3.759,"Pannar","John Deere"
"North West",24.85,671.8,"Rainfed",410.45,87.62,3.801,"Pannar","John Deere"
"North West",23.83,437.1,"Rainfed",163.38,156.2,3.434,"Pioneer","John Deere"
"Mpumalanga",23.74,642,"Rainfed",125.8,81.24,4.005,"Pioneer","John Deere"
"Mpumalanga",18.74,1090.7,"Rainfed",187.25,260.65,3.565,"Dekalb","John Deere"
"North West",35.42,608.8,"Irrigated",174.92,153.24,3.745,"Pioneer","John Deere"
"Mpumalanga",18.44,577.4,"Rainfed",111.8,218.28,3.314,"Pannar","Case"
"Mpumalanga",22.3,922.9,"Rainfed",211.48,161.48,3.713,"Pioneer","John Deere"
"Free State",26.13,784.5,"Rainfed",296.83,129.55,3.702,"Dekalb","New Holland"
"Free State",26.35,452.9,"Rainfed",165.4,189.66,3.56,"Pioneer","John Deere"
"Free State",22.79,267.7,"Irrigated",214.54,83.29,3.798,"Dekalb","John Deere"
"Free State",24.32,548.1,"Rainfed",183.07,71.97,3.45,"Pioneer","John Deere"
"North West",32.81,594.2,"Rainfed",200.1,102.72,2.859,"Pioneer","John Deere"
"North West",20.72,237.6,"Rainfed",150.22,152.8,3.375,"Dekalb","New Holland"
"Mpumalanga",19.65,759.4,"Rainfed",273.53,113.13,3.755,"Dekalb","New Holland"
"Mpumalanga",22.96,501.9,"Rainfed",181.5,110.57,2.929,"Pioneer","John Deere"
"Free State",22.22,776,"Rainfed",132.86,204.56,3.004,"Pioneer","John Deere"
"Free State",29.48,653.3,"Rainfed",214.97,108.77,3.486,"Dekalb","Case"
"Mpumalanga",24.02,1142.9,"Rainfed",246.97,209.49,3.58,"Pannar","John Deere"
"Free State",24.29,478.7,"Rainfed",159.37,96.45,3.849,"Dekalb","John Deere"
"Free State",17.97,535.4,"Rainfed",52.76,121.3,3.495,"Dekalb","New Holland"
"Free State",24.1,453.3,"Rainfed",329.47,94.19,3.635,"Pioneer","John Deere"
"Free State",22.73,532.1,"Rainfed",119.6,112.5,3.577,"Dekalb","John Deere"
"Free State",23.59,744,"Rainfed",141.82,81.16,3.733,"Pannar","John Deere"
"Free State",19.27,479.7,"Rainfed",327.03,165.76,3.778,"Pioneer","John Deere"
"Free State",25.99,644.7,"Rainfed",73.48,229.73,3.092,"Dekalb","New Holland"
"Free State",19.84,602.6,"Rainfed",102.82,154.15,3.307,"Dekalb","Case"
"Free State",23.1,531.5,"Rainfed",119.66,290.66,3.769,"Pannar","John Deere"
"Free State",25.53,509.1,"Rainfed",94.2,65.64,2.831,"Pioneer","John Deere"
"Free State",20.87,553.3,"Rainfed",262.76,97.37,2.733,"Dekalb","John Deere"
"Free State",26.33,691.5,"Rainfed",281.38,171.57,3.536,"Dekalb","Case"
"North West",21.42,852.6,"Rainfed",203.46,180.06,3.538,"Pannar","New Holland"
"Free State",12.76,619.5,"Rainfed",136.49,157.16,3.437,"Dekalb","John Deere"
"Free State",25.86,458.7,"Rainfed",137.41,295.01,3.73,"Pioneer","John Deere"
"Mpumalanga",24.52,497.1,"Rainfed",129.24,285.94,3.842,"Pioneer","New Holland"
"Free State",22.86,421.6,"Rainfed",131.64,71.12,3.782,"Dekalb","John Deere"
"Free State",26.02,667.4,"Rainfed",201.91,112.94,3.441,"Pannar","New Holland"
"Free State",19.38,476.7,"Rainfed",241.98,71.92,3.495,"Pannar","Case"
"Free State",23.49,840.6,"Irrigated",135.5,86.02,3.611,"Pannar","John Deere"
"Mpumalanga",16.18,808.8,"Rainfed",188.34,151.76,2.907,"Dekalb","Case"
"North West",33.91,489.5,"Rainfed",59.73,158.87,3.146,"Pannar","John Deere"
"Free State",31.44,434.8,"Rainfed",169.87,96.13,3.691,"Dekalb","John Deere"
"Mpumalanga",25.22,226.6,"Rainfed",113.28,155.4,3.532,"Dekalb","Case"
"Free State",23.89,538.9,"Rainfed",262.23,98.4,3.1,"Pioneer","Case"
"Free State",23.87,384.6,"Rainfed",272.13,151.84,3.864,"Pannar","John Deere"
"Free State",17.94,790.1,"Rainfed",64.73,142.93,3.683,"Dekalb","John Deere"
"Mpumalanga",24.37,815.3,"Rainfed",243.33,119.83,3.333,"Dekalb","Case"
"Free State",23.16,471.4,"Rainfed",129.36,88.76,3.491,"Pannar","Case"
"Mpumalanga",20.03,529.9,"Rainfed",153.43,110.56,3.525,"Pioneer","John Deere"
"Mpumalanga",17.76,766.1,"Rainfed",240.88,169.04,3.445,"Pioneer","John Deere"
"Mpumalanga",21.1,557.2,"Rainfed",220.4,109.15,3.448,"Dekalb","Case"
"Free State",20.6,596.4,"Rainfed",116.17,117.64,3.464,"Dekalb","John Deere"
"Mpumalanga",20.81,661.2,"Irrigated",188.43,84.54,3.712,"Pioneer","John Deere"
"Mpumalanga",18.35,818,"Rainfed",134.9,112.1,3.837,"Pioneer","Case"
"Mpumalanga",27.06,604,"Rainfed",279.87,134.44,3.65,"Dekalb","John Deere"
"Free State",23.94,586.7,"Rainfed",84.4,98.35,4.018,"Pioneer","John Deere"
"Free State",28.3,618.9,"Irrigated",232.96,114.69,3.667,"Pioneer","John Deere"
"Free State",13.59,609.4,"Rainfed",296.92,83.39,3.634,"Dekalb","John Deere"
"Free State",22.19,502.7,"Rainfed",54.32,189.55,3.746,"Pioneer","John Deere"
"Mpumalanga",19.97,673.8,"Rainfed",216.55,362.49,3.477,"Pioneer","Case"
"Free State",19.11,803.6,"Rainfed",140.99,112.55,3.753,"Dekalb","John Deere"
"Free State",30.19,510.3,"Rainfed",172.37,167.21,4.065,"Pannar","New Holland"
"Free State",18.34,590,"Rainfed",146.67,274.33,3.454,"Pannar","John Deere"
"Mpumalanga",22.96,1141.4,"Rainfed",220.67,114.6,3.858,"Pannar","John Deere"
"Free State",27.39,324.2,"Rainfed",243.95,114.36,3.465,"Pannar","John Deere"
"Mpumalanga",22.53,1067,"Rainfed",211.59,181.17,3.319,"Pioneer","John Deere"
"Free State",20.5,543.6,"Rainfed",157.23,89.07,3.844,"Pioneer","New Holland"
"Free State",27.76,560.3,"Rainfed",137.38,125.87,3.615,"Pannar","John Deere"
"North West",28.85,627.8,"Rainfed",154.97,106.33,3.384,"Dekalb","John Deere"
"North West",22.68,548.5,"Rainfed",149.35,88.46,4.025,"Dekalb","New Holland"
"North West",21.06,428.2,"Rainfed",179.45,163.83,2.935,"Dekalb","John Deere"
"Free State",32.35,559,"Rainfed",115.9,127.8,3.44,"Dekalb","John Deere"
"Free State",21.29,527.6,"Rainfed",210.82,356.07,3.437,"Dekalb","John Deere"
"Mpumalanga",16.43,1220.1,"Rainfed",107.66,38.48,3.541,"Pannar","John Deere"
"Free State",26.13,743,"Rainfed",87.59,181.01,3.536,"Dekalb","Case"
"Mpumalanga",22.93,559.5,"Rainfed",183.51,94.4,4.055,"Pannar","John Deere"
"Free State",18.58,776.1,"Rainfed",196.2,119.71,2.91,"Pioneer","John Deere"
"Free State",16.23,725.3,"Rainfed",254.22,83.83,3.848,"Pioneer","New Holland"
"Mpumalanga",21.65,824.5,"Rainfed",223.88,175.71,3.297,"Pioneer","John Deere"
"Free State",28.56,327.1,"Rainfed",180.57,248.08,3.736,"Pannar","Case"
"Free State",26.54,744.8,"Rainfed",220.62,168.89,3.364,"Pannar","New Holland"
"Free State",22.03,545.6,"Rainfed",108.48,90.68,3.757,"Pannar","John Deere"
"Free State",20.66,232.7,"Rainfed",101.35,278.31,3.409,"Dekalb","Case"
"Free State",25.08,886.7,"Rainfed",98.18,126.4,3.334,"Pannar","John Deere"
"Free State",24.63,653.2,"Irrigated",167.64,147.15,3.129,"Pannar","New Holland"
"North West",31.15,522.3,"Irrigated",217.82,132.99,3.161,"Pioneer","John Deere"
"Free State",22.42,455.1,"Rainfed",241.69,123.51,3.38,"Pioneer","Case"
"North West",32.5,343,"Irrigated",308.82,140.9,3.427,"Pioneer","John Deere"
"North West",23.85,237.6,"Rainfed",189.16,86.03,3.618,"Dekalb","John Deere"
"Mpumalanga",21.01,728.2,"Rainfed",155.77,226.79,3.496,"Pioneer","Case"
"Free State",26.96,1091.3,"Rainfed",124.22,181.09,3.898,"Pannar","John Deere"
"Free State",27.96,367.3,"Rainfed",183.22,140.77,3.087,"Pioneer","New Holland"
"North West",18.31,576.1,"Rainfed",160.05,206.8,3.682,"Pannar","John Deere"
"Free State",24.43,525.3,"Rainfed",143.28,79.01,3.762,"Pannar","John Deere"
"Free State",26.44,568,"Rainfed",123.39,220.03,3.636,"Pioneer","Case"
"North West",20.75,749.4,"Rainfed",107.31,149.34,3.483,"Dekalb","Case"
"Mpumalanga",23.44,770.1,"Rainfed",108.36,169.95,3.361,"Pannar","John Deere"
"Free State",20.69,979.8,"Rainfed",306.88,111.03,3.12,"Pannar","New Holland"
