"region","rainfall_mm","temperature_C","fertiliser_kgha","chem_weed_control_kgha","irrigation","soil_organic_matter","seed_brand","tractor_brand","yield_tha"
"Free State",771.5,28.03,242.33,184.12,"Rainfed",3.679,"Pannar","John Deere",5.67944712646603
"Mpumalanga",784.8,26,254.32,199.8,"Irrigated",3.519,"Dekalb","New Holland",7.62433580220559
"Free State",1026.7,19.62,162.45,198.42,"Rainfed",3.937,"Pioneer","John Deere",8.61093895093315
"North West",300.1,29.95,87.25,170.33,"Rainfed",3.481,"Pannar","John Deere",3.32939173652229
"North West",416,26.61,232.53,203.61,"Rainfed",3.467,"Pioneer","Case",4.39390957076695
"Free State",578.4,20.78,183.73,324.45,"Rainfed",3.719,"Dekalb","John Deere",6.7824584957412
"Free State",736.1,19.21,130.05,180,"Rainfed",3.585,"Pioneer","John Deere",6.73212247085228
"North West",600.4,25.33,212.59,140.7,"Rainfed",4.066,"Dekalb","John Deere",7.15173580880591
"Free State",880.6,25.95,201.99,184.21,"Rainfed",3.382,"Pannar","Case",7.01717332064291
"Free State",584.4,22.02,349.46,263.11,"Rainfed",3.841,"Pannar","New Holland",8.18544271502466
"North West",669.9,27.2,141.8,149.62,"Rainfed",3.593,"Pioneer","John Deere",4.23026564212041
"Free State",317,23.98,243.31,131.26,"Rainfed",3.243,"Dekalb","Case",3.92910534951339
"Mpumalanga",1039,24.83,179.59,147.54,"Rainfed",3.727,"Dekalb","John Deere",7.75306981813977
"Free State",879.3,19.45,182.65,266.55,"Irrigated",3.665,"Pannar","John Deere",7.91099099239176
"Free State",320.9,20.26,279.73,155.5,"Rainfed",3.5,"Pannar","John Deere",4.81233907474001
"North West",740,31.58,97.74,337.97,"Rainfed",3.388,"Dekalb","John Deere",4.89241753408088
"Free State",360.1,21.75,245.65,301.7,"Irrigated",3.511,"Dekalb","New Holland",7.27360523681555
"Free State",549.8,20.15,230.96,201,"Rainfed",3.711,"Dekalb","Case",5.80795853041222
"Free State",605.6,18.39,222,165.51,"Rainfed",3.527,"Pannar","Case",5.16256340787921
"North West",317.7,24.39,135.6,176.47,"Rainfed",3.528,"Dekalb","New Holland",3.33438792679112
"North West",454.4,25.98,178.23,226.79,"Irrigated",3.339,"Pannar","John Deere",5.44162685991799
"Mpumalanga",270.9,26.67,206.99,277.26,"Rainfed",3.709,"Pioneer","John Deere",5.41899334421778
"Mpumalanga",520.2,26.66,193.27,195.88,"Rainfed",3.519,"Pioneer","Case",5.77237681981392
"North West",482.7,29.71,120.19,337.51,"Rainfed",3.255,"Pioneer","Case",4.84938548502227
"Mpumalanga",854.9,22.37,151.45,279.01,"Rainfed",3.685,"Pioneer","Case",6.5584862520844
"Mpumalanga",580.5,24.32,129.52,199.14,"Rainfed",3.725,"Pannar","John Deere",5.56065316672822
"Free State",628.8,19.89,101.5,122.31,"Rainfed",3.717,"Pannar","New Holland",5.89864002486186
"Free State",835.7,19.02,348.65,180.63,"Irrigated",3.809,"Pioneer","New Holland",9.93809645500231
"Free State",603.6,24.76,231.55,146.9,"Irrigated",3.973,"Pioneer","John Deere",5.98403115316122
"Free State",598.5,19.08,166.16,231.2,"Rainfed",3.743,"Pioneer","John Deere",6.75877684685775
"North West",503,33.37,327.97,260.25,"Rainfed",3.46,"Pioneer","New Holland",5.58396050305855
"North West",406.2,27.62,227.13,213.96,"Rainfed",3.386,"Pioneer","John Deere",5.74515102663673
"Mpumalanga",850.1,23.55,360.82,239.52,"Rainfed",4.06,"Dekalb","John Deere",8.14197148879743
"Mpumalanga",824.9,21.74,473.53,212.91,"Rainfed",4.005,"Pioneer","John Deere",10.7162813693765
"Free State",686.7,20.05,166.47,164.65,"Rainfed",3.402,"Dekalb","John Deere",6.03052049951755
"Free State",509.8,18.53,200.6,142.19,"Rainfed",3.874,"Dekalb","New Holland",6.18225264757232
"Mpumalanga",805,22.93,500,128.57,"Irrigated",4.039,"Pioneer","Case",11.0490458488276
"Free State",762.6,22.72,277.93,208.72,"Rainfed",3.823,"Dekalb","John Deere",7.83207646109845
"Free State",491,23.53,435.54,190.69,"Rainfed",3.404,"Pannar","John Deere",6.10885862231683
"Free State",755.1,19.15,247.99,500,"Rainfed",3.745,"Pannar","John Deere",7.8223457272324
"Free State",293.3,20.98,196.2,323.06,"Rainfed",3.473,"Pannar","John Deere",5.25497473199559
"Free State",753.3,20,334.03,243.62,"Rainfed",3.855,"Pannar","John Deere",7.77528297414539
"Free State",598.7,26.61,284.54,153.68,"Rainfed",3.183,"Pannar","John Deere",5.12652346309885
"Free State",404.2,19.49,164.33,122.86,"Rainfed",3.785,"Pannar","John Deere",6.10974071460176
"Free State",443.1,22.21,180.69,227.25,"Rainfed",3.261,"Pioneer","John Deere",5.71155918749192
"Free State",459.9,28.39,156,152.64,"Rainfed",3.419,"Dekalb","John Deere",3.57149296133021
"Free State",712.8,21.36,322.17,256.55,"Rainfed",3.559,"Pannar","John Deere",7.1674628635324
"Free State",595.7,18.06,157.31,202.13,"Rainfed",3.594,"Pannar","New Holland",5.27478262213242
"Free State",730.8,19.6,211.28,154.65,"Rainfed",3.578,"Pioneer","John Deere",6.2698869774978
"North West",705.4,28.15,129.62,192.7,"Rainfed",3.612,"Pannar","John Deere",5.71102854143053
"Free State",956.7,19.56,343.9,218.68,"Rainfed",3.888,"Pioneer","John Deere",8.66491482506429
"Free State",570.2,20.55,311.02,161.15,"Rainfed",3.702,"Dekalb","John Deere",6.49731895020071
"Mpumalanga",870.6,22.35,152.74,215.22,"Rainfed",3.873,"Pannar","New Holland",6.55384852127351
"Free State",498.6,22.79,169.36,168.92,"Irrigated",3.783,"Dekalb","Case",7.36506600880556
"Free State",549,27.12,250.51,336.45,"Rainfed",3.799,"Dekalb","New Holland",7.58653339877011
"Free State",693.8,21.48,184.33,214.26,"Rainfed",3.792,"Pannar","New Holland",6.81895987482843
"Free State",589.9,25.4,184.7,184.79,"Rainfed",3.543,"Dekalb","New Holland",5.16576353374326
"Mpumalanga",767.4,24.71,258.6,186.5,"Rainfed",3.542,"Dekalb","John Deere",6.34289996468594
"North West",517.7,27.11,325.36,152.5,"Irrigated",3.371,"Pioneer","New Holland",6.05120929741065
"Free State",485.5,17.98,131.03,311.13,"Rainfed",3.894,"Dekalb","John Deere",6.16500110015451
"Mpumalanga",844.7,22.1,107.22,189.51,"Rainfed",3.735,"Pannar","John Deere",6.93411172623887
"Free State",537.3,20.9,256.06,211.55,"Rainfed",4.056,"Pannar","New Holland",6.11878508171835
"Free State",439.4,22.9,111.93,216.54,"Rainfed",3.682,"Pioneer","Case",2.87467128553021
"Free State",570.3,26.14,194,177.02,"Rainfed",3.699,"Pioneer","John Deere",4.54449696634265
"Mpumalanga",1016.2,27.04,152.35,218.63,"Rainfed",3.709,"Pannar","New Holland",8.29452284238631
"Free State",458.3,27.33,191.2,466.83,"Rainfed",3.69,"Pannar","John Deere",6.74873801691032
"Mpumalanga",837.9,22.9,195.83,187.99,"Rainfed",3.946,"Pioneer","Case",6.90543874491799
"Mpumalanga",605.3,20.58,326.73,157.92,"Rainfed",3.322,"Dekalb","John Deere",6.92064353543946
"Mpumalanga",740.1,22.78,193.12,306.83,"Rainfed",3.691,"Pannar","John Deere",6.84379621279963
"Free State",743.3,21.81,165.25,138.73,"Rainfed",3.675,"Dekalb","John Deere",6.74144047595744
"Mpumalanga",1191.7,23.44,207.72,235.75,"Rainfed",3.987,"Pioneer","John Deere",8.60230160842149
"Mpumalanga",853.4,25.03,192.25,302.96,"Rainfed",4.105,"Dekalb","New Holland",6.96360771908569
"Mpumalanga",712.6,25.04,162.09,249.4,"Rainfed",4.027,"Pioneer","Case",5.23792807992514
"Free State",794.8,17.15,216.95,257.21,"Rainfed",3.95,"Pioneer","John Deere",7.13775347078896
"Free State",449,25.27,158.38,162.7,"Rainfed",3.595,"Dekalb","John Deere",4.33091769888932
"Free State",459,21.34,165.59,265.83,"Rainfed",4.115,"Dekalb","Case",6.11434743690367
"Free State",547.8,22.85,284.8,271.4,"Rainfed",3.807,"Pioneer","John Deere",6.96684493337928
"Mpumalanga",983.8,22.73,137.39,126.32,"Rainfed",3.52,"Dekalb","John Deere",7.62351388054132
"Free State",560.6,23.56,157.03,237.72,"Rainfed",3.42,"Dekalb","Case",6.16121714181492
"Free State",458.2,22.76,231.28,169.7,"Rainfed",3.595,"Dekalb","John Deere",6.08645960036404
"Free State",573.8,17.22,410.14,168.63,"Rainfed",4.021,"Pannar","John Deere",7.99325682248716
"Mpumalanga",816.5,24.72,220.09,215.39,"Rainfed",3.602,"Pannar","John Deere",6.35569430807634
"Free State",366.9,24.21,72.05,174.97,"Rainfed",3.565,"Pioneer","John Deere",3.69435092062743
"Mpumalanga",1125.5,21.48,348.8,249.42,"Rainfed",3.701,"Pioneer","John Deere",9.34369482078647
"Free State",419.3,23.19,173.4,332.8,"Rainfed",3.604,"Dekalb","New Holland",5.9544937479265
"Free State",614,22.46,235.75,217.84,"Irrigated",3.619,"Pannar","Case",6.13511240550705
"North West",581.3,27.86,173.01,152.02,"Rainfed",3.808,"Dekalb","John Deere",6.27462774082674
"North West",641.2,31.88,223.49,298.39,"Rainfed",3.876,"Pioneer","John Deere",5.20732975962403
"North West",415.7,27.2,292.67,211.44,"Rainfed",3.574,"Pannar","John Deere",5.38395502044672
"Free State",377.7,23.51,186.99,480.83,"Rainfed",3.592,"Pannar","John Deere",4.75898646118762
"Free State",845.4,24.64,130.85,165.78,"Rainfed",3.679,"Dekalb","New Holland",6.34910742326899
"Mpumalanga",1051.4,24.42,239.54,235.49,"Rainfed",4.028,"Pannar","John Deere",8.82643568122807
"Free State",725.2,25.05,324.67,246.55,"Rainfed",3.766,"Pioneer","John Deere",7.55119514635689
"Mpumalanga",730.1,22.44,360.6,242.07,"Rainfed",3.677,"Dekalb","John Deere",7.88768957568547
"Free State",774.2,27.43,183.02,191.54,"Rainfed",3.704,"Dekalb","John Deere",6.47689866020204
"Free State",582,22.39,270.71,149.6,"Rainfed",3.533,"Dekalb","Case",6.80522837824115
"Mpumalanga",853.6,26.84,144.57,317.27,"Rainfed",3.477,"Pannar","John Deere",6.31431934336508
"Free State",574.3,18.17,454.92,136.31,"Rainfed",3.872,"Dekalb","Case",7.09804525209739
"Free State",344.9,23.2,218.37,194.21,"Rainfed",3.657,"Dekalb","New Holland",5.67977828601798
"Free State",475.9,26.36,163.99,237.18,"Rainfed",3.606,"Dekalb","John Deere",4.71427646894503
"Free State",674.6,19.67,302.06,241.76,"Rainfed",3.703,"Dekalb","New Holland",8.26917365668318
"Free State",607.6,19.83,169.19,414.54,"Rainfed",4.026,"Dekalb","John Deere",8.26892955395833
"Free State",457.5,19.87,134.98,98.02,"Rainfed",3.423,"Dekalb","John Deere",4.92147044601734
"North West",276.9,25.25,149.82,165.83,"Rainfed",3.433,"Dekalb","New Holland",3.00984049219163
"Free State",734.1,20.27,211.09,112.69,"Rainfed",3.657,"Pannar","John Deere",7.33900847944792
"North West",187.3,29.76,240.35,147.05,"Rainfed",3.475,"Pannar","Case",4.9019260583934
"North West",288.6,22.32,149.32,216.4,"Rainfed",3.473,"Dekalb","John Deere",5.45035663131616
"Mpumalanga",907.7,23.31,212.64,135.07,"Rainfed",3.777,"Pannar","John Deere",6.63271845196202
"Free State",685.3,25.49,286.85,268.37,"Rainfed",3.782,"Dekalb","John Deere",6.51255928587938
"Free State",558.7,28.4,172.35,147.87,"Rainfed",3.285,"Pioneer","John Deere",4.8439547333651
"North West",1156.7,28.79,274.36,279.81,"Rainfed",3.796,"Pannar","John Deere",9.06275224623546
"Free State",746.8,23.8,241.18,170.04,"Rainfed",4.055,"Pioneer","John Deere",7.0756675957268
"Free State",387.4,17.79,138.23,144.61,"Rainfed",3.443,"Dekalb","John Deere",5.1844422088242
