"Region","Rainfall (mm)","Temperature (C)","Fertiliser (kg/ha)","Chemical Weed Control (kg/ha)","Irrigation","Soil Organic Matter (%)","Seed Strain","Tractor Brand","Yield (t/ha)"
"Free State",0.650789485855069,1.43910717898261,0.440480425807807,-0.382422383516246,"Rainfed",0.104072859809442,"Pannar","John Deere",5.67944712646603
"Mpumalanga",0.711719147395556,0.819361626337806,0.596212815122115,-0.151889802164713,"Irrigated",-0.547336727261881,"Dekalb","New Holland",7.62433580220559
"Free State",1.81990599902292,-1.12841011054585,-0.597042781734058,-0.172179021696927,"Rainfed",1.15447081896195,"Pioneer","John Deere",8.61093895093315
"North West",-1.50877761566266,2.02527046030183,-1.57377970220412,-0.585167555508443,"Rainfed",-0.702046504191321,"Pannar","John Deere",3.32939173652229
"North West",-0.977819136524127,1.00559058550693,0.313192901597613,-0.0958739134562084,"Rainfed",-0.759044843060061,"Pioneer","Case",4.39390957076695
"Free State",-0.233835900871859,-0.774269794748822,-0.320647014877637,1.68075600558201,"Rainfed",0.266925256577273,"Dekalb","John Deere",6.7824584957412
"Free State",0.488615800251064,-1.25358039457756,-1.01787092300041,-0.442995995453001,"Rainfed",-0.278630272594961,"Pioneer","John Deere",6.73212247085228
"North West",-0.133049994564286,0.614815064627453,0.0542017553985049,-1.02079768213127,"Rainfed",1.67966979853821,"Dekalb","John Deere",7.15173580880591
"Free State",1.15059595758944,0.804096957553451,-0.0834765871145618,-0.381099173546754,"Rainfed",-1.1051061861917,"Pannar","Case",7.01717332064291
"Free State",-0.206348835515248,-0.395706008896826,1.83194088179128,0.778914899708094,"Rainfed",0.763625066719159,"Pannar","New Holland",8.18544271502466
"North West",0.185341845816457,1.18571367716232,-0.865255779176966,-0.889652871821598,"Rainfed",-0.246059793241394,"Pioneer","John Deere",4.23026564212041
"Free State",-1.43135571490821,0.202669007449877,0.453209178228826,-1.15958770559801,"Rainfed",-1.67101826495992,"Dekalb","Case",3.92910534951339
"Mpumalanga",1.87625448300397,0.462168376783906,-0.374419499595005,-0.920233724449863,"Rainfed",0.299495735930839,"Dekalb","John Deere",7.75306981813977
"Free State",1.14464042676218,-1.18030998441266,-0.334674619586516,0.829490925208685,"Irrigated",0.0470745209407017,"Pannar","John Deere",7.91099099239176
"Free State",-1.41348912242641,-0.93302235010611,0.926251181467118,-0.803203153814773,"Rainfed",-0.624691615726601,"Pannar","John Deere",4.81233907474001
"North West",0.506482392732861,2.52289866267179,-1.43753009720769,1.87953154766573,"Rainfed",-1.08067832667653,"Dekalb","John Deere",4.89241753408088
"Free State",-1.23390696209655,-0.478135220332342,0.48360232176473,1.34627792996037,"Irrigated",-0.579907206615447,"Dekalb","New Holland",7.27360523681555
"Free State",-0.364857579071704,-0.966604621431692,0.292800920678225,-0.134247002571483,"Rainfed",0.234354777223707,"Dekalb","Case",5.80795853041222
"Free State",-0.109227871255223,-1.50392096264098,0.176423755686048,-0.656032800541249,"Rainfed",-0.514766247908315,"Pannar","Case",5.16256340787921
"North West",-1.4281488906166,0.327839291481585,-0.945784621024231,-0.494895230923085,"Rainfed",-0.510694937989119,"Dekalb","New Holland",3.33438792679112
"North West",-0.801901918241817,0.813255758824064,-0.392083890709889,0.24492616535301,"Irrigated",-1.28017251271712,"Pannar","John Deere",5.44162685991799
"Mpumalanga",-1.64254800039817,1.02390818804816,-0.0185339727216058,0.986952911578259,"Rainfed",0.226212157385316,"Pioneer","John Deere",5.41899334421778
"Mpumalanga",-0.500460434830984,1.02085525429129,-0.196736506615877,-0.209522947502596,"Rainfed",-0.547336727261881,"Pioneer","Case",5.77237681981392
"North West",-0.672254593309803,1.95200005013692,-1.14593775858332,1.87276847448833,"Rainfed",-1.62216254592957,"Pioneer","Case",4.84938548502227
"Mpumalanga",1.03285969431196,-0.288853327406343,-0.739916533398561,1.01268199431839,"Rainfed",0.128500719324617,"Pioneer","Case",6.5584862520844
"Mpumalanga",-0.224215427997045,0.306468755183489,-1.02475484012607,-0.161593341940989,"Rainfed",0.291353116092448,"Pannar","John Deere",5.56065316672822
"Free State",-0.00294455187632736,-1.04598089911034,-1.38869325118419,-1.29117358589752,"Rainfed",0.258782636738882,"Pannar","New Holland",5.89864002486186
"Free State",0.944901085170806,-1.31158613595811,1.82142017825962,-0.433733525666556,"Irrigated",0.633343149304894,"Pioneer","New Holland",9.93809645500231
"Free State",-0.118390226374093,0.44079784048581,0.300464149176594,-0.929643217566252,"Irrigated",1.301037976053,"Pioneer","John Deere",5.98403115316122
"Free State",-0.141754231927212,-1.29326853341688,-0.548855361854484,0.309763453858129,"Rainfed",0.364636694637971,"Pioneer","John Deere",6.75877684685775
"North West",-0.579256688853269,3.06937380515168,1.55281752513036,0.736866227344229,"Rainfed",-0.787544012494432,"Pioneer","New Holland",5.58396050305855
"North West",-1.02271467660659,1.3139368949509,0.243054878053221,0.056295233035397,"Rainfed",-1.08882094651492,"Pioneer","John Deere",5.74515102663673
"Mpumalanga",1.01087004202667,0.0713928559044269,1.97949050169208,0.432086864371188,"Rainfed",1.65524193902303,"Dekalb","John Deere",8.14197148879743
"Mpumalanga",0.895424367528906,-0.481188154089213,3.44342691533809,0.0408577833913209,"Rainfed",1.43131989346726,"Pioneer","John Deere",10.7162813693765
"Free State",0.262305628814968,-0.9971339590004,-0.544828919762121,-0.668676806916397,"Rainfed",-1.02367998780779,"Dekalb","John Deere",6.03052049951755
"Free State",-0.54810468144911,-1.46117989004478,-0.101530633915804,-0.998891205969678,"Rainfed",0.897978294052619,"Dekalb","New Holland",6.18225264757232
"Mpumalanga",0.804258934096146,-0.117889037021571,3.7872331159344,-1.19913698135283,"Irrigated",1.56974443071992,"Pioneer","Case",11.0490458488276
"Free State",0.610017005576096,-0.182000645915861,0.902871840285654,-0.0207449918550392,"Rainfed",0.690341488173634,"Dekalb","John Deere",7.83207646109845
"Free State",-0.634230819566491,0.0652869883906852,2.94999293118041,-0.285828055743314,"Rainfed",-1.0155373679694,"Pannar","John Deere",6.10885862231683
"Free State",0.575658173880332,-1.27189799711879,0.513995465300633,4.26175056274156,"Rainfed",0.372779314476364,"Pannar","John Deere",7.8223457272324
"Free State",-1.53992962306682,-0.713211119611403,-0.158680134581605,1.66031976271986,"Rainfed",-0.734616983544888,"Pannar","John Deere",5.25497473199559
"Free State",0.567412054273349,-1.01239862778476,1.63152797377462,0.492366429648056,"Rainfed",0.820623405587899,"Pannar","John Deere",7.77528297414539
"Free State",-0.140837996415325,1.00559058550693,0.988725976513142,-0.829961399864504,"Rainfed",-1.91529686011166,"Pannar","John Deere",5.12652346309885
