x_sex;x_pt;x_visits;x_height;x_caloric_balance_weekly;x_time;Weight(kg)
0;0;4;167.75;385;48;67.9559022979831
0;0;2;147.39;28;43;55.7752072734414
0;0;2;168.4;1232;48;74.8927068405427
1;0;2;178.06;147;52;79.1264754321055
0;1;2;159.77;-854;52;57.175441778617
1;0;0;174.67;1036;0;80.3549737498239
1;0;2;176.29;-728;51;74.5331548388161
1;0;1;180.37;-7;57;94.2651935646454
0;1;4;174.57;112;57;74.969293359901
0;1;1;154.16;266;54;53.240523708913
1;0;4;171.14;350;63;70.1397696035896
1;0;5;181.65;406;64;88.5649853590069
1;0;2;179.91;644;61;73.4041225627275
0;1;3;150.61;-511;70;58.8666412281803
1;0;2;186.05;1316;60;89.3939068779224
0;0;0;156.2;-98;0;50.5345892289978
1;0;5;189.09;224;47;89.5055889505571
0;0;2;158.9;98;44;53.306346794001
0;0;4;156.88;875;40;61.1210506586763
0;1;2;161.8;-1911;55;65.0714315211277
0;0;4;157.89;259;46;67.5228831662884
1;0;6;174.78;427;54;74.4837544520037
0;1;1;174.92;-714;65;74.6552108452032
0;0;3;159.26;21;46;57.3667946075182
0;0;3;166.42;28;44;65.2679279917914
0;0;3;147.68;343;45;60.1822208091666
1;0;3;169.02;-490;77;71.7368848783713
1;0;0;174.22;455;0;82.5072654483164
0;0;1;164.61;168;44;70.1553268267419
1;0;3;172.62;-546;43;73.1628005438342
0;1;2;161.61;-1197;70;74.0858721783635
1;0;2;171.88;378;59;78.3008097980965
0;0;2;161.39;-56;49;71.544946130909
1;1;6;169.01;-308;61;76.7904599023182
1;0;3;180.35;28;62;75.1115354740709
0;0;0;157.01;385;0;62.11895295514
0;0;1;155.01;231;46;70.1434534663354
0;0;4;167.62;1309;34;66.9403378303803
0;0;4;163.85;-294;38;71.6703538984636
1;0;2;170.78;917;57;72.709066665488
0;1;2;162.35;63;63;66.3148517751935
1;0;1;192.35;707;48;89.5124572915114
1;0;5;176.82;-273;58;79.298469373938
0;1;0;155.59;-882;0;53.1723887591814
0;1;1;157.73;-1218;50;63.1776233689973
0;0;2;165.43;1120;39;68.8445018074839
0;1;0;167.42;-1225;0;64.318440750315
1;0;1;181.55;1652;47;84.9173933350228
0;0;4;168.96;-231;47;62.4784350347878
0;1;3;176.47;-1526;66;64.1755949414128
1;0;2;179.29;-574;51;82.7581743671652
0;0;4;147.99;-203;36;60.4884876501679
0;0;0;165.02;189;0;72.1495626746468
0;1;0;163.46;-2065;0;64.1878298530553
0;0;3;160.94;511;53;70.8046495969911
1;0;5;184.83;119;53;87.2914381260666
1;0;5;182.26;896;57;80.7193875960159
0;0;4;161.31;245;44;66.8674407633011
1;0;0;175.08;-105;0;77.2228217697905
0;0;2;151.03;-609;40;60.6949874132311
0;0;3;145.63;-280;49;56.1404540614133
1;1;3;177.8;1358;71;82.7643187404646
1;0;5;174.49;518;57;74.3333841617357
0;0;4;159.89;-1036;50;54.4509252240049
0;0;2;162.87;651;39;64.3664632841491
1;0;4;177.29;1379;57;87.2056767876275
0;0;0;166.71;-357;0;68.7254385014202
0;1;0;159.8;-1925;0;63.1320980240073
0;0;3;157.4;1582;42;61.2364857527858
0;0;2;154.3;728;46;61.9817100166392
1;0;3;166.42;518;56;68.5751755460358
0;0;3;155.81;679;56;64.8201032952743
0;1;0;152.49;-2212;0;52.9837507596547
0;0;3;160.28;938;50;57.5708408617124
0;0;2;149.78;266;51;56.0551208674066
1;0;3;168.26;749;58;82.9301209250062
1;0;2;163.04;-294;53;71.2666469833101
0;1;4;163.31;-952;69;59.4459763628777
1;0;0;173.46;679;0;94.0922350942808
1;0;4;187.17;560;59;105.443756458047
1;0;4;181.78;784;39;89.0992176934173
1;0;6;166.26;1064;56;75.4260916844942
0;1;1;160.37;-1778;46;56.4586354788111
1;0;4;182.56;420;56;77.9892911685039
1;0;1;172.67;245;64;78.3824490697916
1;0;5;164.55;889;60;74.7828459213057
0;0;3;168.15;210;46;71.6274576476261
0;0;1;166.45;616;36;76.3594465652002
1;0;1;178.85;-371;43;79.0786184796353
0;1;0;154.28;-2044;0;59.758122794142
1;1;0;172.47;-1015;0;71.7079884573121
1;0;1;174.71;-231;55;75.8667183475003
0;0;4;156.35;189;42;63.261896111229
